Leaflet_ID,sent,sent_rounded
9,0.9998,1.0
192,0.9998,1.0
235,0.9998,1.0
35,0.9998,1.0
229,0.9998,1.0
300,0.9997,1.0
47,0.9997,1.0
45,0.9997,1.0
226,0.9997,1.0
28,0.9997,1.0
30,0.9997,1.0
214,0.9997,1.0
202,0.9997,1.0
205,0.9997,1.0
204,0.9997,1.0
37,0.9997,1.0
38,0.9997,1.0
203,0.9997,1.0
6,0.9997,1.0
250,0.9997,1.0
254,0.9997,1.0
96,0.9997,1.0
151,0.9997,1.0
78,0.9997,1.0
117,0.9997,1.0
124,0.9997,1.0
112,0.9997,1.0
108,0.9997,1.0
86,0.9997,1.0
72,0.9997,1.0
106,0.9997,1.0
290,0.9997,1.0
92,0.9997,1.0
93,0.9997,1.0
94,0.9997,1.0
56,0.9996,1.0
240,0.9996,1.0
175,0.9996,1.0
116,0.9996,1.0
118,0.9996,1.0
90,0.9995,1.0
134,0.9995,1.0
260,0.9995,1.0
244,0.9995,1.0
105,0.9994,1.0
50,0.9994,1.0
286,0.9994,1.0
89,0.9994,1.0
187,0.9994,1.0
74,0.9994,1.0
231,0.9994,1.0
143,0.9994,1.0
174,0.9994,1.0
256,0.9994,1.0
121,0.9993,1.0
246,0.9993,1.0
281,0.9993,1.0
4,0.9993,1.0
115,0.9993,1.0
114,0.9993,1.0
65,0.9993,1.0
87,0.9993,1.0
297,0.9993,1.0
91,0.9993,1.0
107,0.9993,1.0
158,0.9993,1.0
46,0.9993,1.0
19,0.9993,1.0
139,0.9993,1.0
141,0.9993,1.0
11,0.9993,1.0
216,0.9993,1.0
222,0.9993,1.0
153,0.9993,1.0
137,0.9993,1.0
292,0.9993,1.0
43,0.9993,1.0
193,0.9993,1.0
217,0.9993,1.0
259,0.9992,1.0
69,0.9992,1.0
1,0.9992,1.0
140,0.9992,1.0
44,0.9992,1.0
76,0.9992,1.0
111,0.9992,1.0
16,0.9992,1.0
99,0.9992,1.0
149,0.9991,1.0
159,0.9905,1.0
239,0.9897,1.0
199,0.9877,1.0
40,0.986,1.0
2,0.9771,1.0
88,0.9752,1.0
36,0.9707,1.0
128,0.969,1.0
63,0.9674,1.0
242,0.9657,1.0
194,0.9653,1.0
232,0.9634,1.0
182,0.9628,1.0
148,0.9595,1.0
284,0.9582,1.0
31,0.9541,1.0
162,0.9525,1.0
215,0.9468,1.0
48,0.9355,1.0
54,0.9288,1.0
188,0.92,1.0
103,0.9171,1.0
298,0.9124,1.0
294,0.8848,1.0
198,0.8823,1.0
61,0.875,1.0
59,0.8645,1.0
21,0.863,1.0
39,0.8555,1.0
119,0.8552,1.0
238,0.836,1.0
213,0.8157,1.0
122,0.8132,1.0
145,0.8061,1.0
248,0.777,1.0
176,0.7684,1.0
295,0.7459,1.0
131,0.7351,1.0
10,0.7003,1.0
